Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Saudi Arabia,2001,Influenza,Neurological,9.56,3.53,0.25,0-18,Female,394601,73.85,2.2,2.27,Medication,4703,No,78.51,745,6.73,52218,0.61,69.31
Mexico,2019,HIV/AIDS,Genetic,7.16,8.74,4.44,0-18,Male,732560,77.64,2.76,1.25,Medication,40677,Yes,68.75,3622,6.96,28700,0.84,86.29
South Korea,2003,Diabetes,Genetic,13.8,13.96,7.32,36-60,Female,440483,81.96,3.8,7.76,Vaccination,17444,Yes,87.33,260,4.8,85282,0.87,21.97
UK,2009,Zika,Bacterial,5.62,12.53,4.22,0-18,Male,383938,82.71,4.5,1.22,Therapy,33767,No,87.5,1791,7.24,35999,0.46,68.48
Germany,2003,Hepatitis,Cardiovascular,4.72,4.77,5.26,0-18,Female,194382,71.26,2.16,1.55,Medication,30545,No,74.18,3995,7.04,35035,0.66,39.32
Brazil,2015,HIV/AIDS,Infectious,4.83,1.51,5.1,19-35,Male,21228,89.98,1.63,9.86,Vaccination,32627,Yes,86.98,4430,3.28,61350,0.61,68.79
Japan,2008,Diabetes,Cardiovascular,17.82,8.27,5.4,0-18,Male,445789,58.39,1.49,7.09,Medication,13532,No,85.42,1931,7.76,26350,0.68,49.05
Brazil,2017,Alzheimer's Disease,Parasitic,8.76,10.1,8.1,0-18,Female,790015,66.88,0.96,6.45,Surgery,43095,Yes,88.76,4362,6.96,17903,0.82,58.84
Italy,2024,Alzheimer's Disease,Autoimmune,19.3,2.16,1.5,19-35,Other,740586,75.43,3.84,4.86,Therapy,33145,Yes,71.48,4640,3.33,48623,0.83,49.04
Argentina,2006,Parkinson's Disease,Metabolic,5.24,6.62,5.54,0-18,Male,99579,85.26,2.35,9.15,Vaccination,15458,No,68.09,1368,1.23,34671,0.81,21.37
France,2016,Alzheimer's Disease,Cardiovascular,4.93,3.09,3.86,61+,Female,931025,63.85,4.34,3.83,Vaccination,7007,No,58.84,4592,3.38,56573,0.46,44.02
Canada,2019,Zika,Neurological,10.89,10.6,4.38,36-60,Female,396762,91.63,1.61,8.16,Medication,47526,Yes,52.52,3140,3.78,72081,0.85,35.8
South Korea,2008,Malaria,Infectious,18.4,10.5,5.72,0-18,Female,516765,58.9,3.95,5.41,Medication,20913,No,81.37,912,1.21,77007,0.48,56.68
Turkey,2017,Asthma,Genetic,13.47,14.75,5.7,61+,Other,647101,64.5,1.49,0.51,Vaccination,41261,No,64.8,2854,2.36,65095,0.83,50.2
Canada,2016,Ebola,Infectious,14.35,10.14,6.41,19-35,Male,467640,53.36,2.91,1.53,Therapy,22824,No,94.07,3892,4.41,71737,0.84,53.74
Turkey,2016,HIV/AIDS,Bacterial,4.19,11.89,7.17,36-60,Male,890518,80.46,3.83,4.99,Medication,29780,No,59.97,2833,5.01,92331,0.77,32.24
Nigeria,2005,Parkinson's Disease,Infectious,0.46,4.23,7.93,19-35,Male,712009,94.3,1.93,1.4,Surgery,28919,No,89.61,1540,2.03,38123,0.52,20.91
India,2010,Malaria,Chronic,14.58,12.64,7.77,19-35,Male,573227,50.51,1.64,7.2,Medication,30171,No,66.65,1137,3.43,80025,0.63,49.16
Mexico,2023,Cholera,Chronic,7.03,4.47,7.12,61+,Female,61836,87.77,4.62,5.92,Surgery,34756,Yes,52.15,2,8.9,89851,0.56,32.35
Saudi Arabia,2014,HIV/AIDS,Genetic,3.16,3.51,8.82,36-60,Female,588123,60.86,0.63,3.38,Surgery,22257,No,94.51,3820,4.01,96136,0.48,49.07
South Africa,2020,Tuberculosis,Parasitic,3.27,9.59,5.92,19-35,Other,323570,55.87,4.64,4.21,Medication,15713,No,51.88,4481,9.9,11821,0.4,49.95
Japan,2022,COVID-19,Cardiovascular,8.68,10.43,0.17,19-35,Female,620998,94.86,5,8.39,Vaccination,4297,Yes,50.2,3368,3.66,15136,0.44,55.15
China,2021,Malaria,Respiratory,8.4,8.45,2.74,19-35,Other,587856,63.69,2.49,3.18,Surgery,22458,Yes,70.79,2550,1.08,92392,0.51,53.89
Australia,2020,Polio,Genetic,6.42,8.1,2.1,61+,Other,860043,56.86,1.23,6.37,Surgery,8622,Yes,82.42,2255,6.34,77889,0.5,25.9
Mexico,2016,HIV/AIDS,Genetic,7.65,9.03,2.96,36-60,Other,502187,96.62,4.6,4.32,Surgery,47592,Yes,75.22,3098,0.54,4033,0.86,31.34
India,2004,Zika,Genetic,17.19,11.31,4.46,61+,Female,725600,61.08,2.4,3.48,Therapy,17812,Yes,62.84,4870,2.88,80298,0.63,36.48
South Korea,2000,HIV/AIDS,Viral,5.34,3.75,7.58,0-18,Other,83268,83,1.73,7.97,Surgery,47029,No,53.07,3618,5.46,76584,0.52,66.26
India,2008,Ebola,Viral,6.91,0.59,8.59,61+,Other,127875,53.35,1.78,8.51,Medication,27381,Yes,98.07,2544,0.35,53452,0.61,79.84
China,2005,Zika,Bacterial,4.89,8.41,5.91,19-35,Male,769527,95.14,4.02,9.4,Medication,17776,No,54.4,3600,6.86,17621,0.87,52.48
Australia,2021,Measles,Chronic,17.27,14.73,1.86,0-18,Female,656392,51.59,1.46,0.95,Medication,47357,No,70.9,3770,1.7,20437,0.7,73.5
Brazil,2015,Diabetes,Autoimmune,8.05,6.86,7.55,0-18,Other,531247,84.22,3.22,9.22,Therapy,3613,No,77.65,3245,9.12,1804,0.8,70.79
Saudi Arabia,2013,Malaria,Bacterial,18.67,1.23,6.49,0-18,Female,449363,91.37,0.66,3.45,Medication,45672,Yes,69.38,3049,4.46,89356,0.69,20.98
Brazil,2024,Rabies,Infectious,11.28,10.11,6.34,61+,Other,823151,62.08,1.79,7.06,Therapy,9139,Yes,55.97,1648,5.18,86862,0.55,45.23
UK,2000,Malaria,Viral,2.02,2.08,9.37,36-60,Female,295181,98,3.25,9.69,Therapy,1264,No,79.89,574,9.87,34796,0.72,38.56
Argentina,2005,Rabies,Parasitic,5.4,9.68,3.7,0-18,Other,745690,75.15,3.68,9.58,Medication,39546,Yes,69.43,3768,0.02,93092,0.6,22.78
Indonesia,2024,Tuberculosis,Neurological,12.78,8.7,2.61,0-18,Other,892694,58.13,3.83,2.99,Vaccination,14640,No,55.7,3661,0.62,85296,0.44,46.49
Brazil,2007,Asthma,Infectious,6.33,1.7,7.84,19-35,Male,411525,53.25,3.24,9.91,Vaccination,39419,Yes,62.96,1463,6.94,97437,0.83,84.69
USA,2016,Hypertension,Infectious,0.95,14.61,5.54,0-18,Other,982034,97.37,2.91,8.41,Medication,46252,Yes,88.68,3308,6.3,29546,0.68,65.14
Russia,2023,Rabies,Respiratory,18.82,6.87,2.83,19-35,Other,306463,63.22,2.84,8.72,Surgery,42361,Yes,96.11,1608,9.8,92038,0.83,27.79
USA,2011,Measles,Viral,7.49,10.93,9.27,61+,Female,255284,66.91,4.21,5.24,Medication,49862,No,72.61,2358,0.43,56050,0.83,72.98
Nigeria,2003,Diabetes,Genetic,17.82,5.57,4.38,0-18,Other,392192,82.36,1.01,8.9,Surgery,16961,No,71.96,2134,7.25,50456,0.76,38.18
Australia,2023,Ebola,Autoimmune,8.33,10.66,1.81,19-35,Male,698653,56.62,1.55,2.1,Surgery,26024,No,65.99,445,1.35,58717,0.49,58.38
Brazil,2001,Leprosy,Autoimmune,14.28,0.37,2.28,19-35,Male,36197,94.04,2.66,9.1,Medication,48333,Yes,87.5,4128,9.47,26216,0.44,62.45
USA,2004,Leprosy,Bacterial,6.87,3.93,4.46,19-35,Male,719776,65.71,1.61,1.19,Therapy,5176,No,91.85,677,2.45,36787,0.83,70.06
South Africa,2013,Influenza,Parasitic,11.26,9.24,3.6,36-60,Male,863480,73.06,0.67,5,Medication,29886,No,76.09,3639,4.14,30954,0.47,22.59
Japan,2021,Asthma,Parasitic,1.78,9.91,0.89,0-18,Other,263538,82.18,1.23,4.27,Therapy,15367,Yes,87.25,2990,1.94,99233,0.8,67.02
USA,2011,Zika,Chronic,3.04,2.1,3.3,61+,Male,843570,58.14,4.38,9.09,Vaccination,24145,No,77.75,1639,6.11,37858,0.87,28.47
Indonesia,2007,Measles,Viral,17.41,13.07,0.79,0-18,Female,748036,94.78,0.67,9.59,Medication,7144,No,72.91,506,9.2,91803,0.57,26.97
Brazil,2010,Influenza,Neurological,12.72,7.17,1.98,61+,Other,282562,73.8,4.77,1.57,Vaccination,36637,Yes,53.3,2615,6.79,32497,0.69,58.87
USA,2000,Ebola,Infectious,6.14,0.64,1.03,19-35,Female,867645,70.07,4.34,8.06,Surgery,30363,No,70.51,1732,2.6,72957,0.88,83.15
Japan,2021,Zika,Neurological,17.82,8.13,4.32,0-18,Other,338997,57.38,3.56,5.15,Vaccination,1570,Yes,60.99,2685,1.2,16232,0.47,68.37
Mexico,2016,Measles,Bacterial,15.31,13.99,9.38,61+,Female,277850,82.01,0.69,1.42,Therapy,1911,No,86.16,3048,5.96,94710,0.53,77.44
Germany,2009,Zika,Parasitic,17.52,13.96,6.74,61+,Male,99680,91.84,4.56,2.26,Medication,23241,Yes,55.97,2172,1.46,58700,0.45,37.55
India,2003,COVID-19,Metabolic,3.32,2.03,2.56,19-35,Other,951798,76.53,4.05,3.53,Vaccination,40264,Yes,97.44,3180,0.05,38640,0.7,45.59
UK,2020,HIV/AIDS,Viral,16.16,14.42,1.87,19-35,Female,76053,52.67,2.27,4.57,Surgery,14157,No,65.09,1414,5.84,55564,0.89,50.75
South Korea,2017,HIV/AIDS,Genetic,7.91,0.37,8.6,36-60,Male,50746,94.7,4.4,7.44,Medication,39963,Yes,98.87,1856,4.62,7292,0.87,43.98
Indonesia,2017,Malaria,Neurological,17.8,7.9,2.06,36-60,Other,602805,87.2,3.77,5.77,Medication,43565,Yes,54.3,2960,9.48,59125,0.87,57.11
Saudi Arabia,2020,Asthma,Viral,13.86,13.3,4.73,61+,Male,650160,87.82,1.2,8.03,Therapy,9982,Yes,89.08,3591,5.37,3497,0.41,30.33
Italy,2022,Hypertension,Respiratory,2.19,0.7,7.78,0-18,Other,828378,65.28,2.28,8.81,Medication,48836,No,66.09,4996,2.13,64713,0.48,81.88
Russia,2000,COVID-19,Neurological,6.95,2.86,9.07,36-60,Female,667661,65.64,3.69,0.67,Surgery,4041,No,58.32,915,9.79,41899,0.6,42.09
China,2012,Malaria,Cardiovascular,7.75,10.61,3.32,19-35,Other,396030,80.26,4.43,5.85,Therapy,17977,No,79.5,608,7.49,31654,0.46,36.63
Canada,2022,Diabetes,Viral,11.33,3.42,1.73,61+,Male,850376,69.77,0.76,6.53,Surgery,27525,Yes,82.53,3985,5.4,18706,0.8,25.54
Brazil,2008,Alzheimer's Disease,Parasitic,1.31,11.57,3.94,36-60,Male,835560,67.67,0.58,9.68,Therapy,39776,Yes,72.81,1637,8.98,20033,0.55,40.47
USA,2010,Leprosy,Cardiovascular,10.2,14.98,4.8,36-60,Female,395269,93.12,1.1,2.06,Therapy,1322,No,90.24,1095,2.12,15808,0.41,82.76
Nigeria,2007,Influenza,Cardiovascular,17.84,4.78,6.93,0-18,Female,222572,71.34,4.69,9.72,Therapy,49075,No,75.12,1613,8.4,1230,0.48,65.16
UK,2019,COVID-19,Genetic,5.65,12.34,6.9,61+,Male,830116,97.66,1.38,9.61,Surgery,35358,No,79.4,3911,4.56,96952,0.63,48.05
Saudi Arabia,2023,Rabies,Autoimmune,17.55,10.04,0.35,0-18,Other,991333,74.64,1.18,7.13,Therapy,16706,No,57.86,3753,7.99,12469,0.84,25.28
Nigeria,2000,Leprosy,Infectious,9.08,10.66,3.72,19-35,Female,486557,56.49,0.67,3.77,Therapy,46108,No,95.85,647,1.15,74620,0.59,46.16
Russia,2014,Ebola,Parasitic,2.21,6.05,4.71,0-18,Other,883450,83.57,3.81,7.24,Therapy,10206,No,98.95,2973,6.03,3018,0.52,52.75
Japan,2022,Malaria,Genetic,15.6,13.51,4.77,0-18,Female,5237,96.6,4.32,1.37,Therapy,19938,Yes,91.67,2947,4.84,8331,0.76,85.08
Indonesia,2013,Malaria,Parasitic,4.48,13.57,9.99,61+,Other,844646,56.88,4.71,4.84,Surgery,36525,Yes,82.35,3669,4.08,52858,0.46,58.77
Germany,2003,Hepatitis,Viral,13.05,14.71,8.63,61+,Female,463285,60.86,2.21,8.14,Vaccination,26645,No,61.81,3446,1.32,41848,0.44,28.38
Indonesia,2000,Dengue,Parasitic,19.55,7.29,3.65,61+,Other,98041,78.94,3.21,7.53,Surgery,17523,Yes,75.26,3643,4.61,54994,0.68,83.74
Canada,2006,COVID-19,Parasitic,16.37,11.54,8.48,0-18,Female,701847,80.93,1.95,1.33,Surgery,19421,No,87.45,1611,0.1,66316,0.62,81.35
Germany,2020,Alzheimer's Disease,Metabolic,19.53,6.36,4.17,0-18,Male,675940,76.03,0.86,6.93,Vaccination,13814,Yes,87.28,4188,2.86,82946,0.84,30.23
Turkey,2008,Hepatitis,Neurological,10.22,1.16,7.99,0-18,Female,398618,84,4,5.71,Medication,38465,Yes,86.79,4439,7.37,43667,0.61,47.7
Japan,2013,Parkinson's Disease,Genetic,10.91,12.32,6.21,19-35,Female,574621,96.84,4.04,9.35,Medication,8895,Yes,88.26,1735,1.43,63532,0.65,27.88
UK,2021,COVID-19,Parasitic,11.58,9.62,5.7,0-18,Female,990146,50.88,2.2,8.84,Therapy,32874,Yes,84.09,4046,3.76,91340,0.78,55.51
Nigeria,2014,Diabetes,Parasitic,18.77,13.17,9.53,61+,Other,982698,52.04,1.05,3.98,Medication,40315,Yes,59.93,3265,3.8,82086,0.73,88.81
South Africa,2002,Parkinson's Disease,Metabolic,2.88,8.38,4.66,19-35,Other,348861,68.9,1.9,8.63,Vaccination,10334,Yes,90.26,3382,2.06,65590,0.54,82.5
South Africa,2019,Parkinson's Disease,Metabolic,4.76,8.25,6.85,19-35,Other,317306,98.01,1.22,4.63,Surgery,47415,Yes,55.54,4698,5.94,6956,0.46,35
Argentina,2015,Zika,Neurological,10.37,6.16,4.74,61+,Male,968111,50.59,0.9,5.64,Surgery,35450,Yes,92.01,3452,6.18,97484,0.69,46.13
India,2006,Ebola,Parasitic,18.85,5.55,9.91,36-60,Female,143289,58.41,4.99,5.99,Therapy,47906,Yes,62.29,3676,4.65,43839,0.65,36.78
Australia,2009,Malaria,Viral,8.45,12.21,3.17,61+,Female,277714,97.18,3.87,2.5,Medication,34521,Yes,68.98,1030,0.09,31525,0.47,86.1
Nigeria,2024,Cancer,Bacterial,4.2,5.98,5.22,0-18,Male,327462,73.2,1.37,9.04,Vaccination,47780,No,96.96,3712,2.46,69142,0.54,42.78
Nigeria,2011,COVID-19,Cardiovascular,10.46,5.81,4.23,19-35,Other,324212,96.23,3.72,2.77,Surgery,42811,No,81.98,3024,9.67,38714,0.53,53.19
Japan,2014,Alzheimer's Disease,Respiratory,15.1,4.91,3.06,19-35,Other,725621,67.51,4.93,8.49,Medication,13479,No,78.07,944,3.17,93646,0.61,62.22
Australia,2009,Diabetes,Neurological,19.54,14.04,9.52,36-60,Female,770881,99.06,2.15,8.97,Therapy,27176,No,66.85,265,8.16,65375,0.86,82.64
Indonesia,2012,Ebola,Metabolic,1.93,2.88,1.11,0-18,Female,932732,91.07,2.37,9.42,Therapy,36527,Yes,67.25,489,2.37,25913,0.45,29.21
India,2010,Influenza,Bacterial,7.27,8.81,0.17,61+,Male,655144,86.93,3.04,6.92,Therapy,47853,No,61.57,4538,1.69,31964,0.85,63.27
Italy,2020,Malaria,Neurological,19.05,12.38,2.86,36-60,Female,964105,86.8,3.95,8.78,Medication,23843,Yes,74.09,4463,7.03,22641,0.64,52.27
Italy,2000,Parkinson's Disease,Parasitic,3.76,0.55,4.72,0-18,Other,77814,61.81,1.38,3.52,Vaccination,20101,No,78.91,353,7.25,11126,0.74,39.09
India,2005,Malaria,Viral,2.37,13.59,8.65,19-35,Other,515371,95.32,4.75,4.36,Surgery,40814,No,77.78,3220,6.91,9025,0.74,53.85
South Korea,2020,Hepatitis,Chronic,10.45,4.76,7.28,36-60,Male,616682,70.5,4.01,3.7,Therapy,42493,No,80.76,1164,4.88,26173,0.78,42.58
Mexico,2023,Rabies,Metabolic,14.57,4.71,2.99,0-18,Other,722864,96.76,4.25,4.62,Vaccination,20137,No,67.64,3008,6.68,22135,0.85,74.4
Indonesia,2015,Dengue,Metabolic,4.63,7.9,5.68,0-18,Female,922405,92.25,3.91,4.88,Therapy,38149,Yes,53.94,1275,8.58,72330,0.82,33.36
Canada,2009,Hypertension,Cardiovascular,2.47,6.23,1.12,0-18,Female,767457,54.62,4.6,9.73,Vaccination,38518,Yes,52.21,2512,6.14,64152,0.85,84.5
Germany,2014,Rabies,Infectious,6.11,14,3.84,0-18,Male,635515,71.13,4.23,8.58,Vaccination,49673,No,60.49,1458,6.49,31326,0.88,51.66
France,2023,Leprosy,Neurological,10.2,8.35,1.17,0-18,Male,88830,89.14,2.81,8.07,Surgery,19212,No,61.97,2660,3.27,53705,0.58,58.42
Nigeria,2020,Ebola,Respiratory,13.03,14.16,7.17,19-35,Female,555369,60.3,1.26,8.15,Therapy,36378,No,55.42,3208,7.72,93810,0.66,86.27
Mexico,2010,Ebola,Cardiovascular,16.87,0.36,2.9,61+,Other,959119,78.99,2.07,8.4,Medication,30323,Yes,68.5,708,4.85,66340,0.5,72.59
Saudi Arabia,2003,Cholera,Respiratory,12.91,2.76,4.75,19-35,Male,487382,93.72,3.89,6.22,Vaccination,9833,No,92.44,130,5.96,19704,0.41,31.29
France,2010,Alzheimer's Disease,Infectious,1.99,4.52,8.9,61+,Other,136860,88.42,4.44,2.43,Vaccination,31924,No,81.25,2305,0.23,66103,0.66,62.89
France,2013,HIV/AIDS,Neurological,15.52,10.46,1.34,61+,Male,332364,70.6,2.04,4.24,Therapy,15667,No,52.56,2150,8.04,23927,0.88,46.52
France,2008,Leprosy,Genetic,5.5,13.95,10,36-60,Female,45817,65.65,1.06,8.18,Therapy,29991,Yes,54.34,2087,6.62,88313,0.64,22.11
France,2003,Hypertension,Infectious,2.64,11.28,8.35,19-35,Other,369679,98.24,2.15,1.25,Medication,17528,No,72.66,1747,1.09,72559,0.57,62.82
South Africa,2016,Cancer,Cardiovascular,10.01,3.59,1.31,61+,Other,658038,74.3,4.38,8.98,Vaccination,18256,No,69.19,2310,5.59,57422,0.65,25.74
France,2023,Polio,Bacterial,10.01,2.74,9.38,61+,Other,112752,76.29,3.65,1.93,Medication,2633,Yes,77.69,1793,7.48,19589,0.71,39.91
South Korea,2006,Asthma,Respiratory,0.25,14.56,3.28,0-18,Other,283018,78.47,1.15,5.95,Vaccination,5702,No,56.37,4661,4.67,83597,0.48,30.1
Nigeria,2008,Parkinson's Disease,Chronic,4.31,11.45,3.98,19-35,Female,957176,66.28,4.48,6.05,Medication,23084,Yes,70.8,766,3.92,51024,0.54,26.31
South Korea,2012,Influenza,Infectious,11.84,10.93,6.42,36-60,Male,879226,70.2,0.56,8.95,Vaccination,17368,Yes,59.3,3295,2.45,68060,0.44,39.27
Brazil,2008,Ebola,Chronic,16.41,5.68,6.24,19-35,Other,122319,82.78,0.52,3.88,Therapy,19046,Yes,75.48,2508,9.59,73893,0.6,44.31
Australia,2019,Cholera,Parasitic,8.56,9.63,5.38,36-60,Male,789798,84.93,2.64,8.55,Therapy,9349,Yes,80.52,4937,5.92,78104,0.47,23.84
Japan,2012,Influenza,Chronic,7.49,1.96,9.33,36-60,Female,884437,92.21,4.83,3.42,Medication,22621,Yes,76.2,1627,6.51,44447,0.73,35.57
Australia,2001,Hepatitis,Viral,3.56,7.7,7.08,19-35,Other,562065,78.52,1.82,3.98,Vaccination,41831,No,76.36,1643,4.47,42091,0.42,43.95
Australia,2009,COVID-19,Cardiovascular,11.63,4.73,5.81,0-18,Female,382980,82.6,1.56,3.57,Medication,26256,Yes,83.15,1687,8.5,61034,0.42,20.5
Russia,2024,Influenza,Metabolic,8.09,9.09,9.56,0-18,Female,845626,72.2,4.06,4.92,Therapy,42390,Yes,55.95,1656,6.75,45823,0.87,32.98
Turkey,2010,Zika,Metabolic,8.06,7.81,4.39,19-35,Male,609064,72.64,4.69,1.92,Surgery,771,Yes,56.93,54,1.89,68683,0.83,72.26
Argentina,2016,Asthma,Chronic,17.8,2.5,1.59,36-60,Other,740319,80.93,4.05,7.59,Medication,40755,No,70.16,200,5.94,72276,0.42,45.75
Canada,2021,Ebola,Autoimmune,4.24,12.58,2.06,19-35,Male,440448,68.81,1.85,8.85,Vaccination,11981,No,56.75,4061,6.73,99265,0.56,40.28
Saudi Arabia,2006,Polio,Genetic,15.09,12.83,9.75,19-35,Female,446784,89.78,4.51,6.85,Medication,16584,No,82.21,731,8.82,36896,0.64,22.11
Japan,2018,Hypertension,Neurological,0.47,14.73,6.42,36-60,Other,783159,61.82,2.8,8.27,Medication,49599,No,80.85,1742,9.09,23202,0.48,26.48
Italy,2007,Leprosy,Parasitic,5.65,3.97,6.28,61+,Female,878766,84.43,1.08,7.51,Vaccination,45272,Yes,80.54,4181,8.87,90923,0.62,69.06
Russia,2013,Measles,Genetic,9.44,7.22,3.39,19-35,Male,39476,61.98,1.4,6.94,Medication,3392,Yes,94.2,2636,2.33,71521,0.57,39.92
Argentina,2010,Malaria,Metabolic,19.45,13.64,2.83,0-18,Other,830715,88.23,0.79,5.8,Vaccination,27103,Yes,68.5,1908,9.35,42854,0.77,27.88
Turkey,2013,Alzheimer's Disease,Viral,18.36,5.73,6.29,61+,Other,845635,58.52,0.59,3.25,Medication,22228,Yes,94.69,3660,4.99,55555,0.69,68.61
Australia,2021,Hepatitis,Viral,18.71,13.36,9.73,19-35,Other,189502,79.83,3.25,6.08,Therapy,36619,No,89.09,2538,7.84,64237,0.87,52.51
USA,2024,Cancer,Parasitic,0.69,14.54,7.8,36-60,Other,957737,68.12,3.22,8.48,Medication,33550,Yes,70.16,2062,3.76,47702,0.41,34.72
Indonesia,2002,Polio,Metabolic,14.49,3.05,3.52,61+,Male,84619,63.94,4.6,7.38,Therapy,27009,Yes,81.45,2761,0.74,38174,0.79,82.85
Argentina,2015,Ebola,Cardiovascular,18.09,2.17,6.84,36-60,Male,437138,74.14,3.31,4.8,Medication,43027,No,59.85,1193,9.77,65670,0.73,27.99
China,2002,Cancer,Viral,7.91,8.01,3.46,19-35,Other,685103,53,3.12,4.19,Surgery,24547,Yes,77.09,2760,7.41,92475,0.65,24.88
Mexico,2015,Hepatitis,Cardiovascular,6.94,2.21,2.75,0-18,Female,579176,55.31,2.12,9.87,Surgery,43915,Yes,89.81,1702,9.13,96583,0.61,78.94
Japan,2007,Influenza,Cardiovascular,12.49,10.7,7.49,61+,Other,692397,59.24,4.93,8.1,Therapy,17618,Yes,73.67,148,9.5,38184,0.86,70.43
USA,2013,Influenza,Neurological,17.06,11.24,5.65,36-60,Other,202527,96.54,3.58,2.32,Vaccination,16966,Yes,52.04,461,7.13,26369,0.72,50.65
USA,2005,Diabetes,Viral,14.9,8.67,8.21,19-35,Other,82619,89.4,1.43,4.82,Surgery,1419,No,86.1,507,1.56,45101,0.84,45.23
France,2006,Parkinson's Disease,Viral,4.14,11.8,3.06,19-35,Female,335358,90.9,1.61,9.52,Therapy,12810,Yes,95.59,2499,5.9,46112,0.59,50.37
Australia,2005,Cancer,Metabolic,9.43,13.72,6.95,19-35,Other,640955,65.36,0.8,5.05,Therapy,46845,No,85.15,4081,6.25,80112,0.44,39.13
Turkey,2010,Zika,Genetic,10.95,11.23,5.35,36-60,Other,612737,75.62,2.86,5.03,Vaccination,40553,No,69.74,4109,7.71,13085,0.71,42.36
Brazil,2022,Hepatitis,Parasitic,19.11,12.85,3.5,0-18,Male,309669,95.78,2.06,9.87,Surgery,49573,Yes,72.1,3885,7.77,69628,0.55,56.56
France,2017,Hypertension,Respiratory,17.69,1.64,8.4,0-18,Female,703849,85.41,2.43,5.52,Therapy,44848,No,85.64,3548,5.01,39826,0.73,85.65
Argentina,2008,Alzheimer's Disease,Neurological,12.33,14.89,8.77,61+,Other,122657,88.16,4.96,6.78,Vaccination,24128,No,76.15,4324,8.41,73836,0.67,61.55
Argentina,2021,Malaria,Infectious,8.35,5.65,2.48,36-60,Female,126044,95.49,2.58,5.36,Surgery,40465,No,75.4,2076,2.14,87717,0.42,78.74
Turkey,2014,Leprosy,Respiratory,2.55,12.06,5.63,19-35,Male,246594,55.45,1.97,6.86,Vaccination,12794,Yes,98.73,1744,3.24,86482,0.5,30.34
Nigeria,2019,Leprosy,Infectious,6.04,12.62,8.23,19-35,Other,768605,57.44,4.56,6.53,Surgery,20234,No,90.47,3212,1.55,3004,0.81,45.39
Australia,2011,Parkinson's Disease,Viral,0.13,5.09,2.92,19-35,Male,860457,76.04,1.91,0.67,Medication,12062,No,63.48,3591,7.68,59516,0.83,48.73
China,2011,Rabies,Neurological,17.93,3.14,2.15,61+,Male,61840,82.16,0.93,8.24,Vaccination,23211,No,94.8,3577,7.56,99395,0.76,72.38
Mexico,2021,Leprosy,Parasitic,2.35,10.85,3.81,36-60,Other,927695,99.68,3.75,6.36,Vaccination,17820,No,86.52,3860,5.31,97473,0.73,83.53
Turkey,2000,Cholera,Cardiovascular,17.55,14.82,5.34,36-60,Male,977278,74.83,3.3,0.6,Medication,5923,No,86.63,1151,4.48,19045,0.6,84.73
Italy,2009,Alzheimer's Disease,Chronic,14.13,13.86,8.79,61+,Male,693216,79.08,4.18,3.56,Vaccination,7914,Yes,54.52,4035,4.06,82066,0.84,71.32
Germany,2011,Polio,Parasitic,5.38,6.12,6.18,19-35,Female,974729,92.01,0.62,8.78,Therapy,22452,No,97.3,3537,4.33,59964,0.43,31.8
Italy,2022,Leprosy,Neurological,3.93,12.96,9.38,19-35,Other,28006,62.19,4.85,6.62,Surgery,4100,Yes,62.98,3197,3.18,81588,0.87,80.01
Russia,2012,Cholera,Genetic,11.68,2.07,3.33,36-60,Male,429028,89.67,4.22,3.26,Medication,7972,No,56.19,2676,7.96,37339,0.74,32.18
Italy,2012,Rabies,Autoimmune,17.57,0.63,8.41,36-60,Other,87820,86.06,4.55,5.73,Vaccination,20932,Yes,84.9,4050,2.56,71648,0.68,72.53
France,2016,COVID-19,Chronic,12.4,3.37,8.84,0-18,Female,620751,55.66,2.51,8.81,Therapy,14417,Yes,95.64,34,3.79,89133,0.76,82.24
Germany,2024,Alzheimer's Disease,Parasitic,9.11,12.09,0.61,36-60,Male,838744,66.68,4.77,8.4,Vaccination,20362,No,66.59,2624,6.52,39506,0.48,34.87
USA,2014,COVID-19,Cardiovascular,8.74,1.02,1.27,0-18,Other,13086,68.56,4.55,5.96,Surgery,18998,Yes,67.88,3411,2.63,71293,0.65,83.86
Mexico,2012,COVID-19,Bacterial,19.81,11,4.3,36-60,Female,857266,78.69,0.8,4.7,Medication,6898,Yes,51.14,4392,9.84,87807,0.75,65.26
India,2019,Influenza,Respiratory,12.94,0.25,4.88,19-35,Female,896063,98.72,1.9,0.77,Surgery,1041,Yes,74.02,748,0.89,39336,0.44,75.35
USA,2020,Hypertension,Genetic,7.93,2.57,2.76,36-60,Male,669379,67.28,4.32,1.04,Therapy,30847,Yes,61.59,1274,9.11,43283,0.43,73.57
India,2010,Malaria,Viral,7.89,6.09,6.75,19-35,Male,118066,57.07,3.23,8.1,Medication,31622,No,52.32,812,5.3,16022,0.43,59.54
Nigeria,2002,Ebola,Cardiovascular,8.93,12.32,9.88,0-18,Other,359809,54.03,1.12,6.81,Surgery,20652,No,97.36,527,2.4,24002,0.9,27.17
